Entity,Code,Year,Legislature,Religious leaders,Business executives,Judges and magistrates,Police,Government officials,Local government councillors,Prime Minister / President,Tax officials,Traditional leaders
Sri Lanka,LKA,2013,39,10,23,21,64,33,,,,
Sri Lanka,LKA,2017,36,3,9,4,31,17,,,,
Sudan,SDN,2013,77,79,71,66,68,68,,,,
Switzerland,CHE,2013,25,25,36,14,13,23,,,,
Taiwan,TWN,2013,75,33,44,57,56,56,,,,
Taiwan,TWN,2017,49,23,22,24,18,16,,,,
Tanzania,TZA,2013,53,23,48,86,87,75,,,,
Thailand,THA,2013,45,12,37,18,71,58,,,,
Thailand,THA,2017,73,15,55,22,78,56,,,,
Tunisia,TUN,2013,40,27,36,56,69,49,,,,
Turkey,TUR,2013,55,41,50,43,38,42,,,,
Uganda,UGA,2013,57,12,37,79,88,73,,,,
Ukraine,UKR,2013,77,37,65,87,84,82,,,,
United Kingdom,GBR,2013,55,34,49,24,32,45,,,,
United States,USA,2013,61,35,53,42,42,55,,,,
Uruguay,URY,2013,38,37,34,39,47,40,,,,
Vanuatu,VUT,2013,72,10,33,42,60,73,,,,
Venezuela,VEN,2013,66,43,63,74,83,79,,,,
Vietnam,VNM,2013,28,15,33,53,72,55,,,,
Vietnam,VNM,2017,24,14,34,27,55,30,,,,
World,OWID_WRL,2013,61,30,47,61,68,61,,,,
World,OWID_WRL,2017,38,19,35,31,38,37,36,33,34,25
Yemen,YEM,2013,74,45,53,62,69,68,,,,
Zambia,ZMB,2013,49,32,59,83,92,65,,,,
Zimbabwe,ZWE,2013,69,40,63,69,86,70,,,,
