,Year,Political_Regime,Total_Years_Education
30977,1940,,7.19
30982,1945,10.0,7.34
30987,1950,10.0,7.43
30992,1955,10.0,7.45
30997,1960,10.0,7.53
31002,1965,10.0,7.96
31007,1970,10.0,8.47
31012,1975,10.0,8.77
31017,1980,10.0,9.32
31022,1985,10.0,10.16
31027,1990,10.0,10.79
31032,1995,10.0,11.31
31037,2000,10.0,11.56
31042,2005,10.0,11.91
31047,2010,10.0,11.65
