,Year,Political_Regime,Total_Years_Education
10774,1940,-20.0,6.01
10779,1945,-20.0,6.3
10784,1950,-20.0,6.61
10789,1955,-20.0,6.78
10794,1960,-20.0,6.94
10799,1965,-20.0,6.65
10804,1970,-20.0,6.45
10809,1975,-20.0,6.07
10814,1980,-20.0,6.5
10819,1985,-20.0,6.86
10824,1990,-20.0,7.44
10829,1995,10.0,8.23
10834,2000,10.0,9.78
10839,2005,10.0,10.2
10844,2010,9.0,11
