,Entity,Year,Corruption_Perception,Average_Total_Years_of_Schooling
10846,Czechia,2012,49.0,12.4
10847,Czechia,2013,48.0,12.6
10848,Czechia,2014,51.0,12.8
10849,Czechia,2015,56.0,12.7
10850,Czechia,2016,55.0,12.7
10851,Czechia,2017,57.0,12.7
10852,Czechia,2018,59.0,
