,Entity,Year,Corruption_Perception,Average_Total_Years_of_Schooling
31055,Norway,2012,85.0,12.6
31056,Norway,2013,86.0,12.7
31057,Norway,2014,86.0,12.5
31058,Norway,2015,88.0,12.5
31059,Norway,2016,85.0,12.6
31060,Norway,2017,85.0,12.6
31061,Norway,2018,84.0,
